"","Overall"
"Blue",1.08242066384099
"Green",0
"Red",20.0260943091079
"NIR",21.4082769544318
"SWIR1",78.738192209269
"SWIR2",100
"CVI",59.079682265379
"DVI",6.84780057775101
"EGI",35.863155222229
"EVI",30.8348037101108
"EVI2",15.877631704334
"GLI",30.9490636500869
"GNDVI",20.9582051099122
"GSAVI",38.468287218742
"LSWI",83.4855156799216
"MNDWI",21.1912766435047
"MSAVI",23.4269806396802
"NDVI",9.71033683135926
"NDWI",19.2288660573573
"SAVI",14.9551512444904
"SR",13.3525944436424
"TVI",11.7117625471331
